"","yearmonth","year","month","pagePath","source","Medium","userType","deviceCategory","entrances","pageviews","exits","timeOnPage","uniquePageviews","users"
"1",201008,2010,8,"/","(direct)","(none)","New Visitor","desktop",9,24,6,700,19,12
"2",201008,2010,8,"/","(direct)","(none)","New Visitor","mobile",0,1,1,0,1,1
"3",201008,2010,8,"/","(direct)","(none)","Returning Visitor","desktop",2,4,1,1407,2,2
"4",201008,2010,8,"/","(direct)","(none)","Returning Visitor","mobile",2,3,2,79,3,1
"5",201008,2010,8,"/","elandroidelibre.com","referral","New Visitor","desktop",1,1,1,0,1,1
"6",201008,2010,8,"/","es.mg41.mail.yahoo.com","referral","Returning Visitor","desktop",11,26,8,1900,22,6
"7",201008,2010,8,"/","facebook.com","referral","New Visitor","desktop",10,21,8,613,20,11
"8",201008,2010,8,"/","facebook.com","referral","Returning Visitor","desktop",4,15,3,1908,9,6
"9",201008,2010,8,"/","feedburner","feed","New Visitor","desktop",0,2,0,16,1,1
"10",201008,2010,8,"/","feedburner","feed","Returning Visitor","desktop",1,4,0,913,3,1
"11",201008,2010,8,"/","feedburner","feed","Returning Visitor","mobile",2,3,3,0,3,1
"12",201008,2010,8,"/","google","organic","New Visitor","desktop",1,2,0,109,2,1
"13",201008,2010,8,"/","movilesdualsim.com","referral","New Visitor","desktop",0,1,1,0,1,1
"14",201008,2010,8,"/","movilesdualsim.com","referral","Returning Visitor","desktop",19,93,20,7413,37,8
"15",201008,2010,8,"/100-millones-perfiles-facebook-publicados-interesan-mas-de-lo-que-parecia/","feedburner","feed","Returning Visitor","desktop",0,1,0,6,1,1
"16",201008,2010,8,"/100-millones-perfiles-facebook-publicados-interesan-mas-de-lo-que-parecia/","google","organic","New Visitor","desktop",0,1,0,36,1,1
"17",201008,2010,8,"/acerca-de/","(direct)","(none)","New Visitor","desktop",0,1,0,34,1,1
"18",201008,2010,8,"/acerca-de/","facebook.com","referral","New Visitor","desktop",0,3,0,26,2,2
"19",201008,2010,8,"/acerca-de/","feedburner","feed","New Visitor","desktop",0,1,0,18,1,1
"20",201008,2010,8,"/acerca-de/","movilesdualsim.com","referral","Returning Visitor","desktop",0,1,1,0,1,1
"21",201008,2010,8,"/aplicaciones-imprescindibles-para-iphone/","fernandotellado.com","referral","New Visitor","desktop",1,1,1,0,1,1
"22",201008,2010,8,"/archivo/derecho/","(direct)","(none)","New Visitor","desktop",0,1,0,10,1,1
"23",201008,2010,8,"/archivo/derecho/consumidores/","(direct)","(none)","New Visitor","desktop",0,2,0,13,2,2
"24",201008,2010,8,"/archivo/derecho/propiedad-intelectual/","(direct)","(none)","New Visitor","desktop",0,1,0,631,1,1
"25",201008,2010,8,"/archivo/economia/","(direct)","(none)","New Visitor","desktop",0,1,0,9,1,1
"26",201008,2010,8,"/archivo/economia/crisis/","(direct)","(none)","New Visitor","desktop",0,1,1,0,1,1
"27",201008,2010,8,"/archivo/internet/diseno/","facebook.com","referral","New Visitor","desktop",0,1,0,26,1,1
"28",201008,2010,8,"/archivo/internet/herramientas/","facebook.com","referral","New Visitor","desktop",0,1,1,0,1,1
"29",201008,2010,8,"/archivo/otros/","(direct)","(none)","New Visitor","desktop",0,1,1,0,1,1
"30",201008,2010,8,"/archivo/otros/gadgets/","(direct)","(none)","New Visitor","desktop",0,1,1,0,1,1
"31",201008,2010,8,"/archivo/otros/gadgets/","es.mg41.mail.yahoo.com","referral","Returning Visitor","desktop",0,3,2,8,3,1
"32",201008,2010,8,"/archivo/otros/gadgets/","facebook.com","referral","New Visitor","desktop",0,1,1,0,1,1
"33",201008,2010,8,"/archivo/otros/gadgets/","facebook.com","referral","Returning Visitor","desktop",0,1,0,8,1,1
"34",201008,2010,8,"/archivo/otros/gadgets/","movilesdualsim.com","referral","Returning Visitor","desktop",0,1,0,5,1,1
"35",201008,2010,8,"/archivo/otros/musica/","es.mg41.mail.yahoo.com","referral","Returning Visitor","desktop",0,1,0,7,1,1
"36",201008,2010,8,"/archivo/soluciones/productividad/","(direct)","(none)","New Visitor","desktop",0,1,0,28,1,1
"37",201008,2010,8,"/archivo/soluciones/productividad/","es.mg41.mail.yahoo.com","referral","Returning Visitor","desktop",0,2,0,54,1,1
"38",201008,2010,8,"/busca-trabajo-en-start-ups/","feedburner","feed","Returning Visitor","desktop",0,1,0,12,1,1
"39",201008,2010,8,"/comunidad/","(direct)","(none)","New Visitor","desktop",0,3,1,22,2,2
"40",201008,2010,8,"/comunidad/","es.mg41.mail.yahoo.com","referral","Returning Visitor","desktop",0,2,0,582,2,1
"41",201008,2010,8,"/comunidad/","facebook.com","referral","New Visitor","desktop",0,1,0,23,1,1
"42",201008,2010,8,"/comunidad/","feedburner","feed","Returning Visitor","desktop",0,2,0,212,1,1
"43",201008,2010,8,"/contacto/","(direct)","(none)","New Visitor","desktop",0,3,0,57,2,2
"44",201008,2010,8,"/dos-tarjetas-sim-un-movil-revolucion-por-llegar/","(direct)","(none)","New Visitor","desktop",2,2,2,0,2,2
"45",201008,2010,8,"/dos-tarjetas-sim-un-movil-revolucion-por-llegar/","es.mg41.mail.yahoo.com","referral","Returning Visitor","desktop",0,10,1,1175,4,2
"46",201008,2010,8,"/dos-tarjetas-sim-un-movil-revolucion-por-llegar/","facebook.com","referral","New Visitor","desktop",2,4,3,11,4,4
"47",201008,2010,8,"/dos-tarjetas-sim-un-movil-revolucion-por-llegar/","facebook.com","referral","Returning Visitor","desktop",1,1,1,0,1,1
"48",201008,2010,8,"/dos-tarjetas-sim-un-movil-revolucion-por-llegar/","movilesdualsim.com","referral","New Visitor","desktop",7,7,4,231,7,7
"49",201008,2010,8,"/dos-tarjetas-sim-un-movil-revolucion-por-llegar/","movilesdualsim.com","referral","Returning Visitor","desktop",6,10,4,1160,9,3
"50",201008,2010,8,"/dos-tarjetas-sim-un-movil-revolucion-por-llegar/","twitter.com","referral","New Visitor","desktop",2,2,2,0,2,2
"51",201008,2010,8,"/el-ceo-de-google-nos-dice-que-no-estamos-preparados-para-la-revolucion-tecnologica/","facebook.com","referral","New Visitor","desktop",1,1,0,30,1,1
"52",201008,2010,8,"/el-ceo-de-google-nos-dice-que-no-estamos-preparados-para-la-revolucion-tecnologica/","feedburner","feed","Returning Visitor","desktop",0,1,0,4,1,1
"53",201008,2010,8,"/el-ceo-de-google-nos-dice-que-no-estamos-preparados-para-la-revolucion-tecnologica/","google","organic","New Visitor","desktop",0,1,1,0,1,1
"54",201008,2010,8,"/lucha-lector-libro-electronico-e-book/","facebook.com","referral","New Visitor","desktop",0,1,0,21,1,1
"55",201008,2010,8,"/lucha-lector-libro-electronico-e-book/","facebook.com","referral","Returning Visitor","desktop",0,1,1,0,1,1
"56",201008,2010,8,"/lucha-lector-libro-electronico-e-book/","feedburner","feed","Returning Visitor","desktop",0,1,0,5,1,1
"57",201008,2010,8,"/lucha-lector-libro-electronico-e-book/","movilesdualsim.com","referral","Returning Visitor","desktop",0,1,0,29,1,1
"58",201008,2010,8,"/madrilenos-no-obligados-a-limpieza-viaria/","(direct)","(none)","New Visitor","mobile",1,1,0,65,1,1
"59",201008,2010,8,"/madrilenos-no-obligados-a-limpieza-viaria/","feedburner","feed","Returning Visitor","desktop",0,2,1,491,1,1
"60",201008,2010,8,"/madrilenos-no-obligados-a-limpieza-viaria/","feedburner","feed","Returning Visitor","mobile",1,1,0,17,1,1
"61",201008,2010,8,"/oportunidades-en-zonas-libres-de-patentes/","(direct)","(none)","New Visitor","desktop",1,2,0,824,1,1
"62",201008,2010,8,"/oportunidades-en-zonas-libres-de-patentes/","(direct)","(none)","Returning Visitor","desktop",0,1,0,274,1,1
